20:50, Monday, March 08, 2021
Study name:Static 1

Reaction force (lbf)

Component  ,Selection  ,Entire Model
Sum X:  ,-8.5758E-07  ,-8.5758E-07
Sum Y:  ,1.0291E-05  ,1.0291E-05
Sum Z:  ,0.61959  ,0.61959
Resultant:  ,0.61959  ,0.61959
