23:37, Tuesday, March 09, 2021
Study name:Static 1

Reaction force (lbf)

Component  ,Selection  ,Entire Model
Sum X:  ,0.  ,-0.00021954
Sum Y:  ,0.  ,15000
Sum Z:  ,0.  ,0.0002607
Resultant:  ,0.  ,15000
