23:37, Tuesday, March 09, 2021
Study name:Static 1

Reaction force (N)

Component  ,Selection  ,Entire Model
Sum X:  ,0.  ,-0.00097656
Sum Y:  ,0.  ,66723
Sum Z:  ,0.  ,0.0011597
Resultant:  ,0.  ,66723
