22:36, Tuesday, March 09, 2021
Study name:HW1 Study

Reaction force (lbf)

Component  ,Selection  ,Entire Model
Sum X:  ,0.0077426  ,0.0077426
Sum Y:  ,-0.035806  ,-0.035806
Sum Z:  ,0.047832  ,0.047832
Resultant:  ,0.060249  ,0.060249
